name,market,neighborhood,cuisine,price,address,zip,url
Ham Ji Park,Los Angeles,Koreatown,,$$,3407 W 6th St,90020,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ham-ji-park
Pasta Sisters,Los Angeles,Culver City,,$$,3280 Helms Ave,90034,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pasta-sisters
Almaza,Los Angeles,Culver City,,$$,8905 Venice Blvd,90034,https://jsheldon-afk.github.io/cold-call-hub-3/?r=almaza
Potions & Poisons,Los Angeles,,,$$,3514 W 8th St,90005,https://jsheldon-afk.github.io/cold-call-hub-3/?r=potions-and-poisons
Fuji Yama,Los Angeles,,,$$,4511 W Coast Hwy,92663,https://jsheldon-afk.github.io/cold-call-hub-3/?r=fuji-yama
Chios Peruvian Grill,Los Angeles,Van Nuys,,$$,7115 Van Nuys Blvd,91405,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chios-peruvian-grill
Springbok Bar & Grill,Los Angeles,Burbank,,$$,16153 Victory Blvd,91406,https://jsheldon-afk.github.io/cold-call-hub-3/?r=springbok-bar-and-grill
Big Catch Seafood House,Los Angeles,Goldenwest,,$$,7311 Edinger Ave,92647,https://jsheldon-afk.github.io/cold-call-hub-3/?r=big-catch-seafood-house
Shabu On Fire,Los Angeles,Yorktown,,$$,301 Main St,92648,https://jsheldon-afk.github.io/cold-call-hub-3/?r=shabu-on-fire
Anju House,Los Angeles,Central LA,,$$,234 S Oxford Ave,90004,https://jsheldon-afk.github.io/cold-call-hub-3/?r=anju-house
El Katracho Restaurant,Los Angeles,Van Nuys,,$$,14838 Burbank Blvd,91411,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-katracho-restaurant
Midori Sushi,Los Angeles,Sherman Oaks,,$$,13905 Ventura Blvd,91423,https://jsheldon-afk.github.io/cold-call-hub-3/?r=midori-sushi
El Mariachi Grill,Los Angeles,Sherman Oaks,,$$,15627 Ventura Blvd,91436,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-mariachi-grill
